id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
16883484,Childfriendly 2room apartment CPH V,26174652,Rikke,,Vesterbro-Kongens Enghave,55.66686936456655,12.555030035661328,Entire home/apt,750,1,13,2018-08-27,0.76,1,15
16887163,Cosy 2-room apartment in Copenhagen N,112500835,Simon,,Nrrebro,55.70159967318945,12.554374911366827,Entire home/apt,599,2,6,2017-04-02,0.29,1,0
16889824,Cozy and bright penthouse apartment at Østerbro,112131106,Helle-Louise,,sterbro,55.71121748593706,12.564834017667804,Entire home/apt,498,3,3,2018-07-11,0.14,1,107
16890005,Cosy and minimalistic apartment in lovely area,7501382,Josefine,,Valby,55.66791734274972,12.510932347932847,Entire home/apt,634,2,19,2018-09-17,0.94,1,5
16890561,Lækker lys lejlighed på Østerbro,95543621,Dos,,sterbro,55.70769837080364,12.559246978640262,Entire home/apt,799,1,38,2018-06-01,1.83,2,0
16890579,Three bedroom apartment 5 min from central CPH,18029450,Nikoline,,Valby,55.66242087619794,12.516535880747735,Entire home/apt,599,5,5,2017-06-05,0.24,1,0
16890965,80 sqm New Yorker loft /w balcony & Danish design,4212243,Maarten,,Vesterbro-Kongens Enghave,55.66737179973041,12.557114720685522,Entire home/apt,1198,2,4,2017-05-21,0.21,1,0
16891126,Beautiful apartment in the city center,59610862,Caroline,,Indre By,55.672110979286025,12.573463020018304,Entire home/apt,999,2,3,2018-06-17,0.16,2,0
16892132,Cozy and sunny apartment  downtown Copenhagen,21313156,Susanne,,Indre By,55.681434095636114,12.576853499682928,Entire home/apt,1248,2,24,2018-09-16,1.15,1,1
16892167,Great place great location,51479376,Dorte,,Frederiksberg,55.6788417742629,12.526544271583388,Entire home/apt,850,3,22,2018-09-27,1.35,1,0
16893177,Apartment for two in lovely Copenhagen,112708891,Esther Marie,,Indre By,55.67579072604966,12.596450434181605,Entire home/apt,802,2,17,2018-08-27,0.87,1,18
